theatre_id;title;author;director;url;genre;start_date;end_date;salle;editorspick
maison-des-metallos;DAINAS (pron. daïnas);Jonathan Capdevielle & Dimitri Doré;Jonathan Capdevielle;https://www.maisondesmetallos.paris/dainas-pron-dainas-jonathan-capdevielle-dimitri-dore;;09/06/2026;13/06/2026;;
maison-des-metallos;CRASH !;La Comète;La Comète;https://www.maisondesmetallos.paris/crash-la-comete;comique;17/06/2026;18/06/2026;;
theatre-du-soleil;À tous ceux qui;Noëlle Renaude;Timothée de Fombelle;https://www.theatre-du-soleil.fr/fr/agenda-2026/a-tous-ceux-qui-2026-2486;;04/03/2026;22/03/2026;Petite Salle;
theatre-du-soleil;Ici sont les Dragons;Hélène Cixous;Ariane Mnouchkine;https://www.theatre-du-soleil.fr/fr/notre-theatre/les-spectacles/ici-sont-les-dragons-2024-2470;drame;12/03/2026;26/04/2026;;
theatre-de-la-tempete;Requiem pour les vivants;Delphine Hecquet;Delphine Hecquet;https://www.la-tempete.fr/saison/spectacles/requiem-pour-les-vivants?color=#ffdd00;drame;12/03/2026;12/04/2026;;
theatre-de-la-tempete;Au-delà de toute mesure;Elsa Agnès;Elsa Agnès;https://www.la-tempete.fr/saison/spectacles/au-dela-de-toute-mesure?color=#dfcdb7;;13/03/2026;12/04/2026;;
theatre-de-la-tempete;Musiques en héritage;Ludmilla Dabo;Ludmilla Dabo;https://www.la-tempete.fr/saison/spectacles/musiques-en-heritage?color=#2f52a0;;06/05/2026;24/05/2026;;
theatre-de-la-tempete;Tous coupables sauf Thermos Grönn;Romane Nicolas;Sacha Vilmar;https://www.la-tempete.fr/saison/spectacles/tous-coupables-sauf-thermos-gronn?color=#e8491d;comique;05/05/2026;24/05/2026;;true
theatre-de-la-tempete;Illusions;Ivan Viripaev;Yordan Goldwaser;https://www.la-tempete.fr/saison/spectacles/illusions?color=#f29fc5;;04/06/2026;21/06/2026;;
theatre-de-la-tempete;La Cerisaie;Anton Tchekhov;Aurélie Van Den Daele;https://www.la-tempete.fr/saison/spectacles/la-cerisaie?color=#cea99c;drame;06/06/2026;21/06/2026;;
theatre-de-l-epee-de-bois;Combustions;;Olivier Comte;https://www.epeedebois.com/un-spectacle/combustions/;;12/03/2026;29/03/2026;;
theatre-de-l-epee-de-bois;Iphingénie – Triptyque Partie I;Jean Racine;Clément Séclin;https://www.epeedebois.com/un-spectacle/iphigenie/;drame;12/03/2026;29/03/2026;;
theatre-de-l-epee-de-bois;Doux oiseau de jeunesse;Tennessee Williams;Christophe Hatey / Florence Marschal;https://www.epeedebois.com/un-spectacle/doux-oiseaux-de-jeunesse/;drame;19/03/2026;05/04/2026;;
theatre-de-l-epee-de-bois;Comment tombent les rois;Manon Montel;Manon Montel;https://www.epeedebois.com/un-spectacle/comment-tombent-les-rois/;;02/04/2026;19/04/2026;;
theatre-de-l-epee-de-bois;Emma Picard;Mathieu Belezi;Emmanuel Hérault;https://www.epeedebois.com/un-spectacle/un-faux-pas-dans-la-vie-demma-picard/;;09/04/2026;19/04/2026;;
theatre-de-l-epee-de-bois;Être vivant – Paroles des oiseaux de la terre;Johanna Gallard;;https://www.epeedebois.com/un-spectacle/etre-vivant-paroles-doiseaux-de-la-terre/;;22/04/2026;26/04/2026;;
theatre-de-l-epee-de-bois;La Mouette;Anton Tchekhov;Jérôme Méla;https://www.epeedebois.com/un-spectacle/la-mouette-2/;drame;23/04/2026;26/04/2026;;
theatre-de-l-epee-de-bois;1.2.3.Tchekhov !;Anton Tchekhov;Jean-Christophe Barbaud;https://www.epeedebois.com/un-spectacle/1-2-3-tchekhov/;;23/04/2026;10/05/2026;;
theatre-de-l-epee-de-bois;Oncle Vania;Anton Tchekhov;Jérôme Méla;https://www.epeedebois.com/un-spectacle/oncle-vania/;drame;30/04/2026;03/05/2026;;
theatre-de-l-epee-de-bois;Notre-Dame de Paris — ʼANΑΓKH;Augustine Pouplin;Augustine Pouplin;https://www.epeedebois.com/un-spectacle/notre-dame-de-paris-ana%ce%b3kh/;drame;30/04/2026;16/05/2026;;
theatre-de-l-epee-de-bois;Le Récit de la servante Zerline;Hermann Broch;Bernard Sobel;https://www.epeedebois.com/un-spectacle/le-recit-de-la-servante-zerline/;;07/05/2026;17/05/2026;;
theatre-de-l-epee-de-bois;Le Secret d’Amalia;Franz Kafka;Bernard Sobel / Daniel Franco;https://www.epeedebois.com/un-spectacle/le-secret-damalia/;drame;07/05/2026;17/05/2026;;
theatre-de-l-epee-de-bois;Le Prince;Nicolas Machiavel;Balthazar Gaulier;https://www.epeedebois.com/un-spectacle/il-principe/;;21/05/2026;31/05/2026;;
theatre-de-l-epee-de-bois;Antigone;Sophocle / Michel Vinaver;Matthieu Marie;https://www.epeedebois.com/un-spectacle/antigone/;drame;21/05/2026;07/06/2026;;
theatre-de-l-epee-de-bois;Les Bonnes;Jean Genet;Marcos Malavia / Maïa Rivière;https://www.epeedebois.com/un-spectacle/les-bonnes/;drame;28/05/2026;07/06/2026;;
theatre-de-l-epee-de-bois;Villa Dolorosa;Rebekka Kricheldorf;Mario Aguirre;https://www.epeedebois.com/un-spectacle/villa-dolorosa/;;21/05/2026;24/05/2026;;
theatre-de-l-epee-de-bois;Hippolyte;Robert Garnier;Betty Pelissou;https://www.epeedebois.com/un-spectacle/hippolyte/;drame;11/06/2026;28/06/2026;;
theatre-de-l-epee-de-bois;7 Minutes (Comité d’usine);Stefano Massini;Olivier Mellor;https://www.epeedebois.com/un-spectacle/7-minutes-comite-dusine/;;11/06/2026;28/06/2026;;
theatre-de-l-epee-de-bois;Les Beaux Draps;Maly Chhum;Maly Chhum;https://www.epeedebois.com/un-spectacle/les-beaux-draps/;;18/06/2026;28/06/2026;;
theatre-13;حمار الليل Hmar Lil – Somnambule;Asmaa Samlali;Asmaa Samlali;https://theatre13.com/spectacle/d8add985d8a7d8b1-d8a7d984d984d98ad984-hmar-lil-somnambule/;drame;11/03/2026;21/03/2026;T13 / Bibliothèque;
theatre-13;Je ne suis qu'un idiot;Jicai Feng;Haini Wang;https://theatre13.com/spectacle/je-ne-suis-quun-idiot/;drame;26/03/2026;29/03/2026;T13 / Bibliothèque;true
theatre-13;Hamlet(te);William Shakespeare;Clémence Coullon;https://theatre13.com/spectacle/hamlette/;comique;08/04/2026;18/04/2026;T13 / Bibliothèque;true
theatre-13;La voix de ma grand-mère;Vanasay Khamphommala;;https://theatre13.com/spectacle/e0baaae0babde0ba87e0ba82e0baade0ba87e0ba8de0bb88e0bab2-la-voix-de-ma-grand-mere/;drame;05/05/2026;08/05/2026;T13 / Bibliothèque;
theatre-13;Prix T13 2026;;;https://theatre13.com/spectacle/prix-t13-festival-de-mise-en-scene-2026/;;03/06/2026;21/06/2026;T13 / Glacière;
theatre-13;SarkHollande;Julien Campani, Léo Cohen-Paperman, Clovis Fouin;Léo Cohen-Paperman;https://theatre13.com/spectacle/huit-rois-nos-presidents-sarkhollande/;comique;05/06/2026;21/06/2026;T13 / Bibliothèque;
